id;submitdate;lastpage;startlanguage;seed;startdate;datestamp;group;ident;PI1;PI2;I1;I2;I3;I4;PO1;PO2T[SQ002];PO2T[SQ003];PO2T[SQ004];PO2T[SQ008];PO2T[SQ010];PO2T[SQ012];PO2T[SQ013];PO2T[SQ018];PO2T[SQ014];PO2T[SQ016];PO2T[SQ017];PO3U[SQ001];PO3U[SQ003];PO3U[SQ004];PO3U[SQ005];PO3U[SQ006];PO4E[SQ001];PO4E[SQ003];PO4E[SQ006];PO4E[SQ008];PO4E[SQ019];PO4E[SQ011];PO4E[SQ012];PO4E[SQ017];PO4E[SQ018];PO5OP;DE1;DE2;DE2[other];DE3;DE4[SQ001];DE4[SQ002];DE4[SQ003];DE4[SQ004];DE4[SQ005];DE4[other];DE5;FEED;interviewtime;groupTime8318;groupTime;identTime;groupTime8319;PI1Time;PI2Time;groupTime8315;I1Time;I2Time;I3Time;I4Time;groupTime8316;PO1Time;PO2TTime;PO3UTime;PO4ETime;PO5OPTime;groupTime8317;DE1Time;DE2Time;DE3Time;DE4Time;DE5Time;groupTime8320;FEEDTime
152;2026-06-30 16:09:42;19;en;1608135042;2026-06-30 15:53:16;2026-06-30 16:09:42;3;686750;Advanced;Frequently / weekly;;;;;When n is 0;6;6;7 (strongly agree);5;4;5;7 (strongly agree);7 (strongly agree);2;6;2;3;3;6;6;6;6;6;4;2;1 (strongly disagree);6;7 (strongly agree);2;2;I liked that it addressed me by my nickname. This made the chatbot feel more like a personal assistant and very empathetic, like learning with a very patient tutor;;Woman;;Bachelor's degree;Yes;Yes;No;No;No;;25 to 34;;991.74;;;;;3.99;7.08;;;;;656.25;;64.23;71.72;20.38;36.09;76.75;;7.08;3.83;4.52;14.28;4.62;;20.92
89;2026-06-26 12:44:07;19;en;145425722;2026-06-26 12:27:43;2026-06-26 12:44:07;2;282841;Advanced;Frequently / weekly;;;;;When n is 0;6;6;5;4;6;7 (strongly agree);6;7 (strongly agree);2;6;3;6;6;4;3;3;4;4;3;5;1 (strongly disagree);3;6;2;2;;;Man;;High school diploma / Abitur;Yes;Yes;No;No;No;Turkish;18 to 24;A chatbot that I have never used before asking for my name feels off.;989.65;;;;;3.8;135.44;;;;573.31;;;31.55;106.54;22.14;43.14;15.45;;6.07;5.16;6.75;9.49;4.16;;26.65
109;2026-06-28 17:47:21;19;en;844476228;2026-06-28 17:31:18;2026-06-28 17:47:21;1;263811;Basic knowledge;Daily;;;;;When n is 0;2;3;7 (strongly agree);2;7 (strongly agree);5;7 (strongly agree);7 (strongly agree);3;5;1 (strongly disagree);1 (strongly disagree);1 (strongly disagree);3;1 (strongly disagree);2;4;5;4;5;1 (strongly disagree);1 (strongly disagree);3;3;5;it asks how i wanted to be called, but there is not much else. It is mostly related to the tasks or code;;Woman;;High school diploma / Abitur;No;No;No;No;No;Turkish;25 to 34;;969.98;;;;;6.34;23.8;;;332.49;;;;237.08;100.91;37.3;53.66;110.89;;18.16;5.33;7.19;25.8;6.44;;4.59
16;2026-05-27 07:44:54;19;en;481719053;2026-05-27 07:29:03;2026-05-27 07:44:54;2;711724;Advanced;Daily;;;;;When n is 0;2;3;3;3;4;5;5;7 (strongly agree);3;3;1 (strongly disagree);3;3;2;2;2;3;3;2;2;1 (strongly disagree);2;3;2;2;"language-wise it was fine, although Comet called my name a little too often which made it a bit weird.
The bot also couldn't answer something like 'What does the variable gap_1 stand for?' (there was no explanation for that variable)";;Man;;High school diploma / Abitur;No;Yes;No;No;No;;18 to 24;;957.09;;;;;5.22;5.13;;;;644.61;;;40.13;87.42;30.41;35.02;85.86;;4.16;3.92;4.6;4.76;3.26;;2.59
103;2026-06-27 21:20:32;19;en;1393793773;2026-06-27 21:05:13;2026-06-27 21:20:32;4;827986;Advanced;Frequently / weekly;;;;;When n is 0;6;7 (strongly agree);7 (strongly agree);6;6;4;7 (strongly agree);7 (strongly agree);3;7 (strongly agree);4;7 (strongly agree);7 (strongly agree);6;6;6;6;7 (strongly agree);6;6;1 (strongly disagree);6;6;6;5;;;Woman;;High school diploma / Abitur;Yes;No;No;No;No;Romanian;18 to 24;;924.73;;;;;8.79;7.35;;485.45;;;;;60.13;125.83;30.53;72.11;76.56;;7.96;4.25;8.76;20.04;7.19;;9.78
146;2026-06-30 13:20:17;19;en;1144561142;2026-06-30 13:05:02;2026-06-30 13:20:17;1;616237;Basic knowledge;Daily;;;;;When the largest disk is on the bottom;2;2;7 (strongly agree);1 (strongly disagree);7 (strongly agree);7 (strongly agree);7 (strongly agree);7 (strongly agree);4;7 (strongly agree);7 (strongly agree);7 (strongly agree);7 (strongly agree);2;2;2;1 (strongly disagree);1 (strongly disagree);1 (strongly disagree);2;1 (strongly disagree);1 (strongly disagree);1 (strongly disagree);5;5;;;Woman;;High school diploma / Abitur;No;Yes;No;No;No;;25 to 34;;922.01;;;;;13.61;5.04;;;662.73;;;;30.64;79.29;43.55;34.67;13.45;;12.44;6.6;6.39;5.52;4.23;;3.85
119;2026-06-29 10:50:56;19;en;645556938;2026-06-29 10:35:46;2026-06-29 10:50:56;1;246349;Basic knowledge;Frequently / weekly;;;;;When n is 0;3;3;3;5;2;2;7 (strongly agree);7 (strongly agree);4;7 (strongly agree);2;4;2;5;5;5;2;2;1 (strongly disagree);1 (strongly disagree);1 (strongly disagree);3;5;1 (strongly disagree);1 (strongly disagree);the only thing i remarked is the insistance on calling me Mr. or Mrs. If i say just say my name he repeat the sentence as if i said nothing . I don t want to be called Mr.;;Man;;Bachelor's degree;Yes;Yes;Yes;No;No;Arabic;18 to 24;i don t have any other comments;915.8;;;;;3.37;5.69;;;543.57;;;;31.22;104.8;30.17;57;77.67;;15.49;8.06;6.17;17.28;3.54;;11.77
87;2026-06-26 10:25:33;19;en;2126841827;2026-06-26 10:10:42;2026-06-26 10:25:33;1;611692;Basic knowledge;Daily;;;;;When n is 0;4;3;6;3;5;6;5;7 (strongly agree);2;6;5;5;5;4;3;3;2;2;1 (strongly disagree);1 (strongly disagree);1 (strongly disagree);1 (strongly disagree);2;3;3;;;Prefer not to say;;High school diploma / Abitur;No;Yes;No;No;No;;18 to 24;;896.33;;;;;7.6;5.67;;;684.23;;;;18.26;78.12;23.04;33.74;14.77;;4.79;6.69;6.14;6.1;5.09;;2.09
52;2026-06-23 17:38:37;19;en;153907545;2026-06-23 17:23:50;2026-06-23 17:38:37;2;863954;Advanced;Daily;;;;;When n is 0;2;2;6;4;4;2;4;7 (strongly agree);3;4;2;2;2;2;2;2;2;1 (strongly disagree);4;4;1 (strongly disagree);1 (strongly disagree);2;2;2;;;Man;;Bachelor's degree;Yes;Yes;No;No;No;;25 to 34;;893.67;;;;;3.89;5.23;;;;194.1;;;54.52;46.84;28.89;25.12;8.65;;6.38;3.33;3.61;5.58;4.05;;503.48
127;2026-06-29 16:06:09;19;en;749054042;2026-06-29 15:51:26;2026-06-29 16:06:09;3;352261;Basic knowledge;Daily;;;;;When the largest disk is on the bottom;2;5;4;4;6;1 (strongly disagree);6;7 (strongly agree);4;4;1 (strongly disagree);4;4;2;3;5;4;3;4;3;1 (strongly disagree);2;6;6;4;"not really. i was asked directly to chose between mr and mrs but maybe referring me just by my name could make it friendlier and much gender neutral
";;Man;;High school diploma / Abitur;Yes;Yes;No;No;No;turkish;18 to 24;;889.02;;;;;10.23;5.94;;;;;594.79;;43.24;51.24;31.23;31.69;79.46;;9.19;6.16;4.33;10.32;4.63;;6.57
